date;sunset;sunrise
01.01.2023;22:53:19;6:57:13
02.01.2023;22:53:12;6:58:15
03.01.2023;22:53:02;6:59:19
04.01.2023;22:52:48;7:00:25
05.01.2023;22:52:31;7:01:34
06.01.2023;22:52:11;7:02:46
07.01.2023;22:51:48;7:03:59
08.01.2023;22:51:22;7:05:15
09.01.2023;22:50:53;7:06:33
10.01.2023;22:50:20;7:07:52
11.01.2023;22:49:45;7:09:14
12.01.2023;22:49:06;7:10:38
13.01.2023;22:48:25;7:12:03
14.01.2023;22:47:41;7:13:30
15.01.2023;22:46:54;7:14:59
16.01.2023;22:46:04;7:16:29
17.01.2023;22:45:11;7:18:01
18.01.2023;22:44:16;7:19:34
19.01.2023;22:43:18;7:21:09
20.01.2023;22:42:17;7:22:44
21.01.2023;22:41:14;7:24:21
22.01.2023;22:40:08;7:25:59
23.01.2023;22:39:00;7:27:37
24.01.2023;22:37:50;7:29:17
25.01.2023;22:36:37;7:30:58
26.01.2023;22:35:21;7:32:39
27.01.2023;22:34:04;7:34:21
28.01.2023;22:32:44;7:36:03
29.01.2023;22:31:22;7:37:47
30.01.2023;22:29:58;7:39:30
31.01.2023;22:28:32;7:41:14
01.02.2023;22:27:04;7:42:59
02.02.2023;22:25:34;7:44:44
03.02.2023;22:24:02;7:46:29
04.02.2023;22:22:28;7:48:15
05.02.2023;22:20:52;7:50:00
06.02.2023;22:19:15;7:51:46
07.02.2023;22:17:36;7:53:32
08.02.2023;22:15:55;7:55:18
09.02.2023;22:14:12;7:57:04
10.02.2023;22:12:29;7:58:50
11.02.2023;22:10:43;8:00:36
12.02.2023;22:08:56;8:02:22
13.02.2023;22:07:08;8:04:08
14.02.2023;22:05:18;8:05:54
15.02.2023;22:03:27;8:07:39
16.02.2023;22:01:35;8:09:25
17.02.2023;21:59:41;8:11:10
18.02.2023;21:57:47;8:12:55
19.02.2023;21:55:51;8:14:40
20.02.2023;21:53:54;8:16:25
21.02.2023;21:51:56;8:18:09
22.02.2023;21:49:57;8:19:54
23.02.2023;21:47:57;8:21:38
24.02.2023;21:45:56;8:23:21
25.02.2023;21:43:54;8:25:05
26.02.2023;21:41:51;8:26:48
27.02.2023;21:39:48;8:28:30
28.02.2023;21:37:43;8:30:13
01.03.2023;21:35:38;8:31:55
02.03.2023;21:33:32;8:33:37
03.03.2023;21:31:26;8:35:19
04.03.2023;21:29:19;8:37:00
05.03.2023;21:27:11;8:38:42
06.03.2023;21:25:03;8:40:22
07.03.2023;21:22:54;8:42:03
08.03.2023;21:20:44;8:43:43
09.03.2023;21:18:35;8:45:23
10.03.2023;21:16:24;8:47:03
11.03.2023;21:14:14;8:48:43
12.03.2023;21:12:03;8:50:22
13.03.2023;21:09:51;8:52:01
14.03.2023;21:07:40;8:53:40
15.03.2023;21:05:28;8:55:19
16.03.2023;21:03:16;8:56:57
17.03.2023;21:01:03;8:58:36
18.03.2023;20:58:51;9:00:14
19.03.2023;20:56:38;9:01:52
20.03.2023;20:54:25;9:03:29
21.03.2023;20:52:12;9:05:07
22.03.2023;20:49:59;9:06:45
23.03.2023;20:47:46;9:08:22
24.03.2023;20:45:33;9:09:59
25.03.2023;20:43:20;9:11:36
26.03.2023;20:41:07;9:13:13
27.03.2023;20:38:55;9:14:50
28.03.2023;20:36:42;9:16:27
29.03.2023;20:34:29;9:18:04
30.03.2023;20:32:17;9:19:41
31.03.2023;20:30:05;9:21:17
01.04.2023;20:27:53;9:22:54
02.04.2023;20:25:41;9:24:30
03.04.2023;20:23:30;9:26:07
04.04.2023;20:21:19;9:27:43
05.04.2023;20:19:09;9:29:20
06.04.2023;20:16:58;9:30:56
